,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
103,Bridgewater Terraces,"Kangaroo Point, Brisbane",8.2,Very good ,278 reviews,1.5 km from centre,Not Travel Sustainable,Bridgewater Terraces offers riverfront accommodation just a 5-minute ferry ride from Brisbane's city centre. 
104,Belise Apartments,"Bowen Hills, Brisbane",8.2,Very good ,818 reviews,2.3 km from centre,Not Travel Sustainable,"Located 10 minutes' drive from Brisbane CBD (Central Business District), and overlooking RNA Showgrounds, Belise Apartments offers guests access to a resort style swimming pool, rooftop deck, fitness..."
105,Park Avenue Hideaway for 4 Auchenflower Brisbane,"Auchenflower, Brisbane",8.6,Fabulous ,50 reviews,3 km from centre,Travel Sustainable,"Boasting garden views, Park Avenue Hideaway for 4 Auchenflower Brisbane features accommodation with a patio and a kettle, around 2.3 km from Suncorp Stadium. "
106,Quest Woolloongabba,"Woolloongabba, Brisbane",8.2,Very good ,570 reviews,3.1 km from centre,Travel Sustainable,"Just a 5-minute walk from the Brisbane Cricket Ground, Quest Woolloongabba offers a range of self-contained accommodation options. Guests enjoy access to a fitness centre and an outdoor terrace. "
107,Oaks Brisbane on Charlotte Suites,"Brisbane CBD, Brisbane",8.2,Very good ,"4,521 reviews",0.6 km from centre,Travel Sustainable,"Located in Brisbane's CBD (Central Business District), Oaks Brisbane on Charlotte Suites offers self-contained accommodation with a private balcony. "
108,Breeze Lodge,"Kangaroo Point, Brisbane",8.6,Fabulous ,165 reviews,1.8 km from centre,Not Travel Sustainable,"Conveniently located in the heart of Kangaroo Point and 2 km from Brisbane CBD (Central Business District), Breeze Lodge is within a 10-minute walk from The Gabba Stadium, a free CityHopper ferry,..."
109,Darra Motel & Conference Centre,Brisbane,8.4,Very good ,280 reviews,13.4 km from centre,Not Travel Sustainable,"Featuring an outdoor pool, a BBQ area and a restaurant, Darra Motel is located in Darra, a light industrial and business district of Brisbane. "
110,African Escape on Level 38 - Balcony with Views,"Brisbane CBD, Brisbane",8.7,Fabulous ,114 reviews,0.9 km from centre,Travel Sustainable,"Set in the centre of Brisbane, African Escape on Level 38 - Balcony with Views features an outdoor swimming pool, a garden, free WiFi, and free private parking for guests who drive. "
111,Shangri-La Gardens,Brisbane,8.5,Very good ,313 reviews,12.9 km from centre,Travel Sustainable,"Offering an outdoor pool, Shangri-La Gardens is situated in Brisbane, 10 km from Brisbane Powerhouse. Free private parking is available on site. "
112,Mantra Midtown,"Brisbane CBD, Brisbane",8.2,Very good ,575 reviews,0.6 km from centre,Travel Sustainable,"Located in Brisbane's CBD (Central Business District), Mantra Midtown apartments feature a private furnished balcony and full kitchen facilities. "
113,Lancaster Court Motel,"Annerley, Brisbane",8.6,Fabulous ,520 reviews,5 km from centre,Not Travel Sustainable,"An outdoor pool, a BBQ area and a sunny terrace are on offer at Lancaster Court Motel, just 750 metres from Fairfield Train Station. All rooms offer a flat-screen TV with cable channels. "
114,Goldsborough Place Apartments,"Teneriffe, Brisbane",8.2,Very good ,225 reviews,3.2 km from centre,Not Travel Sustainable,"Boasting a sunny private balcony with river views, Goldsborough Place Apartments are located overlooking Brisbane River. Guests enjoy access to a swimming pool, BBQ facilities and a seafood..."
115,Essence Apartments Chermside,"Chermside, Brisbane",8.3,Very good ,"1,181 reviews",8.6 km from centre,Travel Sustainable,"These stylish and sophisticated apartments are situated in Chermside, just a 20-minute drive from Brisbane city centre. Each has a full kitchen, en suite bathroom, cable TV and free WiFi access. "
116,Quest Chermside,"Chermside, Brisbane",8.2,Very good ,280 reviews,9.2 km from centre,Travel Sustainable,"Just a 15-minute drive from Brisbane city centre, Quest Chermside offers free Wi-Fi and free covered parking. All rooms feature a private balcony and some have a fully equipped kitchen. "
117,The Constance Fortitude Valley,"Fortitude Valley, Brisbane",8.0,Very good ,"1,341 reviews",2 km from centre,Travel Sustainable,"Located in the cultural centre of Fortitude Valley, The Constance features rooms with unique street art interiors. All include free WiFi and satellite TV. "
118,Fairthorpe Apartments,"Auchenflower, Brisbane",8.5,Very good ,97 reviews,2.3 km from centre,Not Travel Sustainable,"Just 2 km from central Brisbane, Fairthorpe Apartments offer an outdoor pool, barbecue facilities and a tennis court. "
119,Amazing River View - 3 Bedroom Apartment - Brisbane CBD - Netflix - Fast Wifi - Carpark,"Brisbane CBD, Brisbane",8.8,Fabulous ,98 reviews,1.3 km from centre,Not Travel Sustainable,"Amazing River View - 3 Bedroom Apartment - Brisbane CBD - Netflix - Fast Wifi - Carpark features a fitness room and a sauna, as well as air-conditioned accommodation with free WiFi in the centre of..."
120,Essence Apartments Chermside,"Chermside, Brisbane",8.3,Very good ,"1,181 reviews",8.6 km from centre,Travel Sustainable,"These stylish and sophisticated apartments are situated in Chermside, just a 20-minute drive from Brisbane city centre. Each has a full kitchen, en suite bathroom, cable TV and free WiFi access. "
121,Quest Chermside,"Chermside, Brisbane",8.2,Very good ,280 reviews,9.2 km from centre,Travel Sustainable,"Just a 15-minute drive from Brisbane city centre, Quest Chermside offers free Wi-Fi and free covered parking. All rooms feature a private balcony and some have a fully equipped kitchen. "
122,The Constance Fortitude Valley,"Fortitude Valley, Brisbane",8.0,Very good ,"1,341 reviews",2 km from centre,Travel Sustainable,"Located in the cultural centre of Fortitude Valley, The Constance features rooms with unique street art interiors. All include free WiFi and satellite TV. "
123,Fairthorpe Apartments,"Auchenflower, Brisbane",8.5,Very good ,97 reviews,2.3 km from centre,Not Travel Sustainable,"Just 2 km from central Brisbane, Fairthorpe Apartments offer an outdoor pool, barbecue facilities and a tennis court. "
124,Amazing River View - 3 Bedroom Apartment - Brisbane CBD - Netflix - Fast Wifi - Carpark,"Brisbane CBD, Brisbane",8.8,Fabulous ,98 reviews,1.3 km from centre,Not Travel Sustainable,"Amazing River View - 3 Bedroom Apartment - Brisbane CBD - Netflix - Fast Wifi - Carpark features a fitness room and a sauna, as well as air-conditioned accommodation with free WiFi in the centre of..."
125,Manly Marina Cove Motel,Brisbane,8.4,Very good ,630 reviews,17 km from centre,Not Travel Sustainable,"Manly Marina Cove Motel is a 4 star boutique motel situated within the grounds of the Royal Queensland Yacht Squadron (RQYS), right on Moreton Bay. "
126,Amora Hotel Brisbane,"Spring Hill, Brisbane",8.2,Very good ,"2,568 reviews",0.8 km from centre,Not Travel Sustainable,"Amora Hotel Brisbane is situated only 300 mtrs from Central Station and within walking distance to The Queen St Mall, Treasury Casino, Suncorp Stadium and the entertainment precincts of Howard Smith..."
127,Jacaranda House Garden Suite,Brisbane,9.0,Superb ,49 reviews,8.5 km from centre,Travel Sustainable,"Located in Kenmore, just 10km from Brisbane city, the fully self-contained Jacaranda House Garden Suite apartment features a private entrance, contactless self check-in, free on-street parking, free..."
128,Lvl 50 Skytower Fabulous Views CBD Wifi Carpark by Stylish Stays,"Brisbane CBD, Brisbane",7.8,Good ,21 reviews,0.8 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, Lvl 50 Skytower Fabulous Views CBD Wifi Carpark by Stylish Stays features accommodation with an outdoor swimming pool, city views, as well as a fitness centre and..."
129,Executive 3 Bedroom Family Suite - Brisbane CBD - Views - Netflix - Fast Wifi - Free parking,"Brisbane CBD, Brisbane",9.5,Exceptional ,37 reviews,1.3 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, Executive 3 Bedroom Family Suite - Brisbane CBD - Views - Netflix - Fast Wifi - Free parking features accommodation with an outdoor swimming pool, river views, as well..."
130,"Great located unit/Private Balcony, Pool,Gym,Parking","Fortitude Valley, Brisbane",9.0,Superb ,17 reviews,2 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Great located unit/Private Balcony, Pool, Gym,Parking has a terrace, free WiFi and a washing machine. "
131,Direct Hotels - Pavilion and Governor on Brookes,"Bowen Hills, Brisbane",8.3,Very good ,967 reviews,2.5 km from centre,Travel Sustainable,Pavilion and Governor on Brookes offers self-contained accommodation in 2 separate buildings. The buildings are 400 metres from RNA Showgrounds and 900 metres from Royal Brisbane Womens Hospital. 
132,Lvl30 Garden/River views Balcony by Stylish Stays,"Brisbane CBD, Brisbane",9.3,Superb ,10 reviews,0.7 km from centre,Not Travel Sustainable,"Set less than 1 km from Brisbane Central Station, Lvl30 Garden/River views Balcony by Stylish Stays offers accommodation in Brisbane with access to an indoor pool. "
133,Amazing City Location-Private Room in a Share House-2 Rooms available!!,"Annerley, Brisbane",9.3,Superb ,25 reviews,4.1 km from centre,Travel Sustainable,"Situated 1.6 km from Boggo Road Gaol, Amazing City Location-Private Room in a Share House-2 Rooms available!! "
134,Amelia Boutique Hotel,"Fortitude Valley, Brisbane",8.3,Very good ,"1,172 reviews",1.9 km from centre,Not Travel Sustainable,"Amelia Boutique Hotel is set in Fortitude Valley, Brisbane, 250 metres from Fortitude Valley Train Station, Chinatown and a range of bars, restaurants and nightclubs. "
135,Lvl 23 Spire Infinity Pool Netflix Wifi Carpark by Stylish Stays,"Brisbane CBD, Brisbane",8.4,Very good ,65 reviews,1.1 km from centre,Not Travel Sustainable,"In a central area of Brisbane, Lvl 23 Spire Infinity Pool Netflix Wifi Carpark by Stylish Stays features city views from the balcony. "
136,Calamvale Business or Holiday like Home,Brisbane,8.5,Very good ,67 reviews,16 km from centre,Not Travel Sustainable,"Located in Brisbane and within 15 km of Boggo Road Gaol, Calamvale Business or Holiday like Home features a garden, non-smoking rooms, and free WiFi throughout the property. "
137,Hillcrest Apartment Hotel (formerly Central Hillcrest Apartments),"South Brisbane, Brisbane",8.2,Very good ,713 reviews,1.8 km from centre,Not Travel Sustainable,"Central Hillcrest Apartments offers free unlimited WiFi, free parking and Brisbane River views from most units. Shared facilities include a swimming pool, spa, sauna, BBQ and a tennis court. "
138,"Immaculate House, Indulgent Living!",Brisbane,8.3,Very good ,34 reviews,12.7 km from centre,Not Travel Sustainable,"Immaculate House, Indulgent Living!, a property with a shared lounge and barbecue facilities, is situated in Brisbane, 14 km from The Gabba - Brisbane Cricket Ground, 14 km from Story Bridge, as well..."
139,SOMEWHERE IN THE HILLS / THE YARDS,"Bowen Hills, Brisbane",8.8,Fabulous ,21 reviews,2.2 km from centre,Not Travel Sustainable,"Situated only 100 metres from Brisbane Showgrounds in Brisbane, SOMEWHERE IN THE HILLS / THE YARDS features accommodation fitted with a balcony, garden and year-round outdoor pool. "
140,Victoria 53,Brisbane,9.5,Exceptional ,32 reviews,2.2 km from centre,Not Travel Sustainable,"Featuring garden views, Victoria 53 provides accommodation with a terrace and a balcony, around 1.6 km from Suncorp Stadium. "
141,Hill Haven,"West End, Brisbane",9.3,Superb ,10 reviews,2.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 1.9 km from Brisbane Convention & Exhibition Centre and 2.1 km from Southbank Station, Hill Haven provides accommodation with free WiFi, air conditioning and a garden. "
142,AU1 - Aurora Skyscraper CBD For Business or Pleasure,"Brisbane CBD, Brisbane",8.5,Very good ,18 reviews,0.9 km from centre,Not Travel Sustainable,"Offering a fitness centre and a garden, as well as a terrace, AU1 - Aurora Skyscraper CBD For Business or Pleasure is located in the centre of Brisbane, 600 metres from Brisbane Central Station. "
143,Bridge and River Views,"Brisbane CBD, Brisbane",9.1,Superb ,17 reviews,1.4 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, Bridge and River Views features accommodation with an outdoor swimming pool, river views, as well as a fitness centre and a terrace. "
144,SK2 - CHARMING Skyline CBD w River Views 3 BR Private Apartment,"Brisbane CBD, Brisbane",8.6,Fabulous ,43 reviews,1.3 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, SK2 - CHARMING Skyline CBD w River Views 3 BR Private Apartment features accommodation with an outdoor swimming pool, river views, as well as a fitness centre and a..."
145,Manly Marina Cove Motel,Brisbane,8.4,Very good ,630 reviews,17 km from centre,Not Travel Sustainable,"Manly Marina Cove Motel is a 4 star boutique motel situated within the grounds of the Royal Queensland Yacht Squadron (RQYS), right on Moreton Bay. "
146,Amora Hotel Brisbane,"Spring Hill, Brisbane",8.2,Very good ,"2,568 reviews",0.8 km from centre,Not Travel Sustainable,"Amora Hotel Brisbane is situated only 300 mtrs from Central Station and within walking distance to The Queen St Mall, Treasury Casino, Suncorp Stadium and the entertainment precincts of Howard Smith..."
147,Jacaranda House Garden Suite,Brisbane,9.0,Superb ,49 reviews,8.5 km from centre,Travel Sustainable,"Located in Kenmore, just 10km from Brisbane city, the fully self-contained Jacaranda House Garden Suite apartment features a private entrance, contactless self check-in, free on-street parking, free..."
148,Lvl 50 Skytower Fabulous Views CBD Wifi Carpark by Stylish Stays,"Brisbane CBD, Brisbane",7.8,Good ,21 reviews,0.8 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, Lvl 50 Skytower Fabulous Views CBD Wifi Carpark by Stylish Stays features accommodation with an outdoor swimming pool, city views, as well as a fitness centre and..."
149,Executive 3 Bedroom Family Suite - Brisbane CBD - Views - Netflix - Fast Wifi - Free parking,"Brisbane CBD, Brisbane",9.5,Exceptional ,37 reviews,1.3 km from centre,Not Travel Sustainable,"Located in centre of Brisbane, Executive 3 Bedroom Family Suite - Brisbane CBD - Views - Netflix - Fast Wifi - Free parking features accommodation with an outdoor swimming pool, river views, as well..."
150,"Great located unit/Private Balcony, Pool,Gym,Parking","Fortitude Valley, Brisbane",9.0,Superb ,17 reviews,2 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Great located unit/Private Balcony, Pool, Gym,Parking has a terrace, free WiFi and a washing machine. "
151,Direct Hotels - Pavilion and Governor on Brookes,"Bowen Hills, Brisbane",8.3,Very good ,967 reviews,2.5 km from centre,Travel Sustainable,Pavilion and Governor on Brookes offers self-contained accommodation in 2 separate buildings. The buildings are 400 metres from RNA Showgrounds and 900 metres from Royal Brisbane Womens Hospital. 
